Name,City,State
Second Unitarian Church,Chicago,IL
Little Goats Diner,Chicago,IL
Little Goats Diner,Chicago,IL
Robust Coffee Lounge,Chicago,IL
Walter Payton College Prep,Chicago,IL
Farraguts,Chicago,IL
Roosevelt University - Cafeteria,Chicago,IL
Children's Museum,Chicago,IL
Ellipsis Coffeehouse,Chicago,IL
Lao Sze Chuan,Chicago,IL
Chopin Theatre,Chicago,IL
Front Bar,Chicago,IL
Upton's Breakroom,Chicago,IL
Nori in Edgewater,Chicago,IL
Felice's Kitchen,Chicago,IL
Goddess and the Baker,Chicago,IL
Starbucks,Chicago,IL
Emerald City Coffee,Chicago,IL
Annoyance Theater and Bar,Chicago,IL
Annoyance Theater and Bar,Chicago,IL
Dollop Coffee,Chicago,IL
Lyfe Kitchen,Chicago,IL
Center for Care and Discovery,Chicago,IL
British School Lincoln Park,Chicago,IL
Cohn Research Building - Rush University Medical Center ,Chicago,IL
Loyola University Terry Student Center,Chicago,IL
Best Intentions,Chicago,IL
The Chopping Block,Chicago,IL
The Chopping Block,Chicago,IL
The Bad Apple,Chicago,IL
The Medici,Chicago,IL
The Purple Pig,Chicago,IL
Portillo's,Chicago,IL
River valley farmer's table,Chicago,IL
Floriole Cafe,Chicago,IL
The Ruin Daily,Chicago,IL
Deadbolt,Chicago,IL
Sheraton Grand Club/Executive Lounge,Chicago,IL
FRONT BAR,Chicago,IL
Dos Riccos,Chicago,IL
Museum of Science and Industry,Chicago,IL
Barrington,Chicago,IL
Lake Barrington,Chicago,IL
Demitasse Cafe,Chicago,IL
The Publican,Chicago,IL
The Coffee Shop,Chicago,IL
Zeus,Chicago,IL
UIC Art & Exhibition Hall,Chicago,IL
Chicagoland Games: Dice Dojo,Chicago,IL
Cheesie's,Chicago,IL
Vegetarian Express,Chicago,IL
Starbucks,Chicago,IL
The Purple Pig,Chicago,IL
Marshalls ,Chicago,IL
Irazu,Chicago,IL
Field Museum,Chicago,IL
UrbanBelly,Chicago,IL
Potbelly's,Chicago,IL
Advocate Illinois Masonic Medical Center,Chicago,IL
Logan Center for the Arts,Chicago,IL
Barcocina,Chicago,IL
The Gundis,Chicago,IL
Vinny D's,Chicago,IL
Starbucks,Chicago,IL
Starbucks ,Chicago,IL
Crosby's,Chicago,IL
Native Foods,Chicago,IL
Native Foods,Chicago,IL
Museum of Science and Industry,Chicago,IL
Target,Chicago,IL
Ramen-San,Chicago,IL
Target,Chicago,IL
Museum of Science and Industry ,Chicago,IL
Smack Dab Bakery,Chicago,IL
Smack Dab Bakery ,Chicago,IL
pHlour Bakery and Cafe,Chicago,IL
Illinois Masonic Surgical Waiting Room,Chicago,IL
Bad Wolf Salon,Chicago,IL
First Slice Cafe,Chicago,IL
Middle East Bakery Grocery and Cafe,Chicago,IL
Goddess and the Baker,Chicago,IL
Little Bad Wolf ,Chicago,IL
Vapiano,Chicago,IL
Heartland Cafe,Chicago,IL
Rogers Park Social,Chicago,IL
Southport & Irving SIP,Chicago,IL
Pizzeria Serio ,Chicago,IL
Ann Sather ,Chicago,IL
